frame_index;total_frames;activity;score;faces_count;emotion
0;3326;lab coat;0.40633630752563477;4;sad
0;3326;lab coat;0.40633630752563477;4;fear
0;3326;lab coat;0.40633630752563477;4;neutral
0;3326;lab coat;0.40633630752563477;4;angry
1;3326;lab coat;0.4021965265274048;4;neutral
1;3326;lab coat;0.4021965265274048;4;sad
1;3326;lab coat;0.4021965265274048;4;neutral
1;3326;lab coat;0.4021965265274048;4;angry
2;3326;lab coat;0.31437695026397705;4;sad
2;3326;lab coat;0.31437695026397705;4;sad
2;3326;lab coat;0.31437695026397705;4;fear
2;3326;lab coat;0.31437695026397705;4;neutral
3;3326;lab coat;0.291115939617157;4;sad
3;3326;lab coat;0.291115939617157;4;angry
3;3326;lab coat;0.291115939617157;4;fear
3;3326;lab coat;0.291115939617157;4;neutral
4;3326;lab coat;0.26743337512016296;4;angry
4;3326;lab coat;0.26743337512016296;4;angry
4;3326;lab coat;0.26743337512016296;4;sad
4;3326;lab coat;0.26743337512016296;4;fear
5;3326;lab coat;0.2653172016143799;4;angry
5;3326;lab coat;0.2653172016143799;4;sad
5;3326;lab coat;0.2653172016143799;4;happy
5;3326;lab coat;0.2653172016143799;4;fear
6;3326;lab coat;0.2765078842639923;4;angry
6;3326;lab coat;0.2765078842639923;4;sad
6;3326;lab coat;0.2765078842639923;4;happy
6;3326;lab coat;0.2765078842639923;4;fear
7;3326;lab coat;0.28459304571151733;4;angry
7;3326;lab coat;0.28459304571151733;4;sad
7;3326;lab coat;0.28459304571151733;4;angry
7;3326;lab coat;0.28459304571151733;4;fear
8;3326;lab coat;0.30267778038978577;4;sad
8;3326;lab coat;0.30267778038978577;4;sad
8;3326;lab coat;0.30267778038978577;4;happy
8;3326;lab coat;0.30267778038978577;4;fear
9;3326;lab coat;0.3320385217666626;4;angry
9;3326;lab coat;0.3320385217666626;4;sad
9;3326;lab coat;0.3320385217666626;4;happy
9;3326;lab coat;0.3320385217666626;4;fear
10;3326;lab coat;0.3654108941555023;4;sad
10;3326;lab coat;0.3654108941555023;4;sad
10;3326;lab coat;0.3654108941555023;4;neutral
10;3326;lab coat;0.3654108941555023;4;fear
11;3326;lab coat;0.39624229073524475;4;angry
11;3326;lab coat;0.39624229073524475;4;sad
11;3326;lab coat;0.39624229073524475;4;happy
11;3326;lab coat;0.39624229073524475;4;fear
12;3326;lab coat;0.38211768865585327;4;angry
12;3326;lab coat;0.38211768865585327;4;sad
12;3326;lab coat;0.38211768865585327;4;happy
12;3326;lab coat;0.38211768865585327;4;fear
13;3326;lab coat;0.381996750831604;4;angry
